Entidad,Con mascota,Sin mascota,Total
Aguascalientes,710007,318834,1028841
Baja California,1937278,900513,2837791
Baja California Sur,440107,199801,639908
Campeche,527186,138753,665939
Coahuila,1636869,700690,2337559
Colima,377968,179105,557073
Chiapas,2215868,1131465,3347333
Chihuahua,1832409,859040,2691449
Distrito Federal,5092955,2544206,7637161
Durango,975416,350734,1326150
Guanajuato,3279875,963022,4242897
Guerrero,1755056,487670,2242726
Hidalgo,1610913,440290,2051203
Jalisco,4232541,1934217,6166758
México,9184043,3147548,12331591
Michoacán,2367646,879656,3247302
Morelos,1143553,315571,1459124
Nayarit,618568,252238,870806
Nuevo León,3092368,1518503,4610871
Oaxaca,2070261,609795,2680056
Puebla,3595779,1002766,4598545
Querétaro,1345810,446790,1792600
Quintana Roo,994913,417271,1412184
San Luis Potosí,1495739,443486,1939225
Sinaloa,1487801,682517,2170318
Sonora,1641742,626123,2267865
Tabasco,1152485,495360,1647845
Tamaulipas,1858044,711706,2569750
Tlaxcala,742624,202020,944644
Veracruz,4624287,1338820,5963107
Yucatán,1338955,350174,1689129
Zacatecas,780122,308589,1088711
