Position,Platform,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,PlayStation 2 (PS2),53.65,55.28,23.18,26.59,158.7
2,Nintendo DS (DS),57.92,51.84,32.99,11.28,154.02
3,Nintendo Switch (NS),48.72,35.45,32.12,21.1,137.4
4,Game Boy (GB),43.18,40.05,32.47,2.99,118.69
5,PlayStation 4 (PS4),38.11,45.85,9.67,23.53,117.15
6,PlayStation (PSX),40.78,31.09,21.59,9.04,102.49
7,Nintendo Wii (Wii),45.51,33.12,12.77,10.23,101.63
8,PlayStation 3 (PS3),29.8,30.87,10.47,16.27,87.4
9,Xbox 360 (X360),46.14,25.08,1.66,12.85,85.73
10,PlayStation Portable (PSP),21.62,25.31,20.02,15.57,82.52
11,Game Boy Advance (GBA),40.39,21.31,16.96,2.85,81.51
12,Nintendo 3DS (3DS),25.47,20.45,24.67,5.35,75.94
13,Nintendo Entertainment System (NES),33.49,8.3,19.35,0.77,61.91
14,Xbox One (XOne),32.97,14.86,0.12,10.02,57.96
15,PlayStation 5 (PS5),20.56,17.9,5.19,10.2,53.85
16,Super Nintendo Entertainment System (SNES),22.88,8.15,17.17,0.9,49.1
17,Sega Genesis (GEN),18.5,8.39,3.58,3.59,34.06
18,Nintendo 64 (N64),20.11,6.35,5.54,0.93,32.93
19,Atari 2600 (2600),23.54,3.35,2.36,0.75,30
20,Xbox Series X/S (XS),14.9,7.45,0.55,4.47,27.37
21,Xbox (XB),15.77,7.17,0.47,1.24,24.65
22,GameCube (GC),12.55,4.44,4.04,0.71,21.74
23,Sega Master System (MS),2,6.95,2.52,9.37,20.84
24,PlayStation Vita (PSV),2.7,3.94,5.73,3.44,15.82
25,Nintendo Wii U (WiiU),6.15,3.27,3.33,0.82,13.56
26,GameGear (GG),5.4,3.23,1.78,0.21,10.62
27,Sega Saturn (SAT),1.83,1.1,5.8,0.53,9.26
28,Dreamcast (DC),3.9,1.91,2.25,1.07,9.13
